location,time,level
Providence-Rhode-Island,10:52 AM EST,0.34 m

Providence-Rhode-Island, 9:04 AM EST,0.29 m

Providence-Rhode-Island,11:41 AM EST,0.32 m

Providence-Rhode-Island, 9:56 AM EST,0.24 m

Providence-Rhode-Island,12:18 PM EST,0.29 m

Providence-Rhode-Island,10:44 AM EST,0.18 m

Providence-Rhode-Island,11:29 AM EST,0.10 m

Providence-Rhode-Island,12:14 PM EST,0.03 m

Providence-Rhode-Island,12:58 PM EST,-0.04 m

Providence-Rhode-Island, 1:41 PM EST,-0.09 m

Providence-Rhode-Island, 2:22 PM EST,-0.13 m

Providence-Rhode-Island, 3:02 PM EST,-0.16 m

Providence-Rhode-Island, 3:43 PM EST,-0.16 m

Providence-Rhode-Island, 4:25 PM EST,-0.14 m

Providence-Rhode-Island, 5:11 PM EST,-0.10 m

Providence-Rhode-Island, 6:45 AM EST,0.03 m

Providence-Rhode-Island, 7:54 AM EST,0.05 m

Providence-Rhode-Island, 9:03 AM EST,0.02 m

Providence-Rhode-Island,10:08 AM EST,-0.04 m

Providence-Rhode-Island,11:08 AM EST,-0.12 m

Providence-Rhode-Island,12:05 PM EST,-0.18 m

Providence-Rhode-Island,12:57 PM EST,-0.23 m

Wrightsville-Beach-North-Carolina,12:30 PM EST,-0.31 m

Wrightsville-Beach-North-Carolina, 1:23 PM EST,-0.36 m

Wrightsville-Beach-North-Carolina, 2:11 PM EST,-0.38 m

Wrightsville-Beach-North-Carolina, 2:58 PM EST,-0.36 m

Wrightsville-Beach-North-Carolina, 3:44 PM EST,-0.30 m

Wrightsville-Beach-North-Carolina, 4:31 PM EST,-0.23 m

Wrightsville-Beach-North-Carolina, 5:22 PM EST,-0.14 m

Wrightsville-Beach-North-Carolina, 8:00 AM EST,0.08 m

Wrightsville-Beach-North-Carolina, 8:55 AM EST,0.09 m

Wrightsville-Beach-North-Carolina, 9:44 AM EST,0.07 m

Wrightsville-Beach-North-Carolina,10:29 AM EST,0.05 m

Wrightsville-Beach-North-Carolina,11:13 AM EST,0.01 m

Wrightsville-Beach-North-Carolina,11:57 AM EST,-0.04 m

Wrightsville-Beach-North-Carolina,12:38 PM EST,-0.09 m

Wrightsville-Beach-North-Carolina, 1:17 PM EST,-0.13 m

Wrightsville-Beach-North-Carolina, 1:54 PM EST,-0.16 m

Wrightsville-Beach-North-Carolina, 2:29 PM EST,-0.17 m

Wrightsville-Beach-North-Carolina, 3:04 PM EST,-0.17 m

Wrightsville-Beach-North-Carolina, 3:39 PM EST,-0.16 m

Wrightsville-Beach-North-Carolina, 4:19 PM EST,-0.14 m

Wrightsville-Beach-North-Carolina, 5:07 PM EST,-0.11 m

Wrightsville-Beach-North-Carolina, 7:13 AM EST,0.03 m

Wrightsville-Beach-North-Carolina, 8:23 AM EST,-0.01 m

Wrightsville-Beach-North-Carolina, 9:24 AM EST,-0.07 m

Wrightsville-Beach-North-Carolina,10:22 AM EST,-0.14 m

Wrightsville-Beach-North-Carolina,11:18 AM EST,-0.21 m

Wrightsville-Beach-North-Carolina,12:11 PM EST,-0.27 m

Wrightsville-Beach-North-Carolina, 1:01 PM EST,-0.31 m

